location_id,latitude,longitude,zone_area_km2,pvout_level1_area_km2,pvout_level1_data_area_km2,pvout_level1_mean,pvout_level1_twh_per_mw_km2,pvout_level1_twh_y,pvout_level2_area_km2,pvout_level2_data_area_km2,pvout_level2_mean,pvout_level2_twh_per_mw_km2,pvout_level2_twh_y,assumed_mw_per_km2
757,14.647192,-8.616752,39218.398873,32712.908944,32712.908944,4.648405,55.502943,1665.088294,13055.271429,13055.271429,4.644995,22.134209,664.026261,30.000000
2717,16.091733,-7.425310,37439.571016,32576.247203,32576.247203,4.698112,55.862107,1675.863196,30317.912206,30317.912206,4.699512,52.004979,1560.149382,30.000000
2862,17.050008,11.795866,35287.918435,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
1628,17.894370,10.162275,38080.856043,1000.020651,1000.020651,5.263646,1.921270,57.638111,868.672630,868.672630,5.263198,1.668778,50.063354,30.000000
4349,19.623499,9.976254,26820.153455,1560.304071,1560.304071,5.269367,3.000963,90.028878,0.000000,0.000000,,0.000000,0.000000,30.000000
3924,21.294912,8.017056,30478.756975,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
2156,22.742248,6.716651,40504.512044,2195.577131,2195.577131,5.480893,4.392309,131.769262,2191.638069,2191.638069,5.480899,4.384434,131.533015,30.000000
3189,20.957881,9.616708,27301.213970,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
1922,19.412695,8.488522,35638.639309,9259.186781,9259.186781,5.153241,17.415909,522.477264,6875.440932,6875.440932,5.112170,12.829175,384.875243,30.000000
2411,20.015393,13.724720,42539.316079,5.675360,5.675360,5.164143,0.010698,0.320927,5.675360,5.675360,5.164143,0.010698,0.320927,30.000000
1014,18.162505,13.252675,38208.680909,3866.322070,3866.322070,5.142059,7.256513,217.695390,3864.695375,3864.695375,5.142098,7.253514,217.605420,30.000000
103,20.079543,15.995152,34245.051663,1551.256368,1551.256368,5.279974,2.989567,89.687000,1551.256368,1551.256368,5.279974,2.989567,89.687000,30.000000
4075,21.008641,14.833667,30529.833053,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
3363,19.145247,11.502029,36243.958688,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
580,20.726727,11.353689,33312.300016,1126.693340,1126.693340,5.230594,2.151046,64.531365,1126.693340,1126.693340,5.230594,2.151046,64.531365,30.000000
