location_id,latitude,longitude,population_2020,access_pct,people_no_access
2404,-86.098888,-176.346892,0.0,,0
961,78.7763,-87.886533,0.2925166390958793,,0
862,67.974348,-178.759373,1239.45555495406,,0
251,-16.727182,-179.898718,2151.0772598683834,,0
79,-13.878415,-171.969155,0.0,,0
3150,80.403751,-89.626435,0.3367229358634631,,0
4234,-85.302699,168.185097,0.0,,0
1227,-84.199603,178.27545,0.0,,0
3220,-87.723151,-171.917578,0.0,,0
92,51.442865,179.166645,0.0,,0
8,-16.627023,-151.463952,0.0,,0
169,-21.235237,-159.785566,0.0,,0
2,-73.402583,-126.501873,0.0,,0
3840,-86.424252,11.849737,0.0,,0
1070,-89.319726,173.673527,0.0,,0
3394,82.333627,-23.026698,0.0,,0
4832,80.691154,-23.59344,0.0,,0
1667,-85.426939,-115.836172,0.0,,0
2747,-74.319385,-121.021562,0.0,,0
259,-80.362798,-122.722621,0.0,,0
777,-76.708022,-120.656382,0.0,,0
3752,-83.885071,-119.159532,0.0,,0
2786,-82.315063,-117.682444,0.0,,0
31,-43.768595,-176.374829,0.0,,0
2959,66.394803,179.570422,850.4896140092751,,0
61,81.987153,-86.585781,0.4639953306527786,,0
2287,73.971044,-124.062291,0.0,,0
845,70.175007,-146.319991,113.31891831002758,,0
2730,70.513842,-151.973627,827.5676219047455,,0
1561,65.556434,-176.137157,2630.566186400254,,0
559,-76.67423,-138.640196,0.0,,0
4914,-85.572247,-132.79116,0.0,,0
2914,-74.814248,-135.669136,0.0,,0
1579,-78.272427,-129.593383,0.0,,0
4521,-81.777074,-126.593078,0.0,,0
4579,-75.667068,-124.132817,0.0,,0
1712,-75.567412,-129.609775,0.0,,0
4093,-76.90868,-131.664305,0.0,,0
1171,-83.065547,-130.254859,0.0,,0
2732,-80.846433,-133.246606,0.0,,0
4489,-79.497217,-133.511157,0.0,,0
2059,73.354824,-84.594155,742.0325314216316,,0
2135,76.73076,-88.218923,0.0412811237836194,,0
555,-77.457316,169.266493,0.0,,0
3616,-83.110349,168.322288,0.0,,0
3547,-73.599003,169.771104,0.0,,0
3228,-86.427601,-13.079424,0.0,,0
2822,-84.020299,16.223306,0.0,,0
3995,-71.695642,5.196755,0.0,,0
65,-86.313157,154.652561,0.0,,0
2174,-84.205897,158.069932,0.0,,0
114,-71.788962,170.2347,0.0,,0
3364,-39.223712,177.90216,45848.82523498265,,0
2420,-85.178776,133.775011,0.0,,0
3370,-87.852402,144.819623,0.0,,0
3246,-82.16052,149.347235,0.0,,0
3075,-80.137848,131.915009,0.0,,0
968,-78.362194,131.180235,0.0,,0
27,-70.309466,133.631453,0.0,,0
4543,-88.242612,104.233569,0.0,,0
2397,-83.127731,124.570232,0.0,,0
1711,-86.972811,114.701129,0.0,,0
1951,80.207205,-78.747025,0.9067817817390276,,0
2119,79.106438,-23.197044,0.0,,0
106,77.135203,-18.44236,0.0,,0
3179,-28.381839,16.432091,17862.872977115912,100.0,0
2630,-87.894265,-127.503215,0.0,,0
3441,-73.298768,-95.702336,0.0,,0
1795,-81.1174,-108.674409,0.0,,0
3859,-77.404436,-114.668778,0.0,,0
3027,-78.516371,-119.93172,0.0,,0
4168,-75.436271,-117.701984,0.0,,0
4591,-80.10119,-114.758046,0.0,,0
4665,-79.026216,-154.646067,0.0,,0
3329,-81.067472,-152.760162,0.0,,0
1773,62.551528,179.284079,217.56220085418315,,0
4504,34.174934,133.919442,4967866.474893391,,0
4731,34.517455,136.633948,14061024.488812683,,0
2121,35.712108,135.223868,10339993.049702248,,0
1373,33.676762,135.429385,6812153.45341444,,0
3033,-25.060978,15.91205,2393.0454812642843,,0
1436,68.272859,-141.384871,1.6103912543469503,,0
3951,69.691849,-142.307305,306.0486505249419,,0
4287,69.07201,-138.260511,0.0,,0
2542,67.679843,-136.208892,1416.631332945224,,0
3272,69.753802,-122.987344,312.4969976185821,,0
661,71.978392,-125.058696,111.82000218401664,,0
1287,69.204481,-118.662671,0.0,,0
1284,68.695079,-152.96911,0.0,,0
3827,69.725807,-156.38123,1.0923465141677298,,0
1178,65.971622,-154.665678,231.09934730386624,,0
3089,67.497423,-156.367238,708.3840158135968,,0
77,71.193969,-156.998452,2092.9378359208786,,0
17,22.068041,-159.337551,67247.39053804427,,0
647,52.148787,-174.403581,0.0,,0
4370,-77.181015,-144.295732,0.0,,0
3823,-75.554645,-143.090604,0.0,,0
1666,-76.215548,-148.537748,0.0,,0
2639,-78.500181,-138.521403,0.0,,0
4919,-83.24215,-144.064354,0.0,,0
2197,-78.253089,-148.372745,0.0,,0
937,-86.349124,-147.273652,0.0,,0
831,-80.047224,-143.575195,0.0,,0
2407,-81.953036,-142.903388,0.0,,0
2430,-84.49802,-141.941958,0.0,,0
144,71.796738,-89.698559,0.0,,0
4774,73.085583,-88.989655,0.0,,0
3767,71.845246,-84.902046,0.0,,0
4950,-78.591197,166.485112,0.0,,0
4952,-80.46229,160.30498,0.0,,0
551,-81.807895,162.154623,0.0,,0
3030,-70.696259,165.77736,0.0,,0
1212,-74.432274,165.02911,0.0,,0
