location_id,latitude,longitude,coal_mw,gas_mw,oil_mw
1,46.80598449707031,45.585113525390625,0.0,0.0,0.0
2,-73.40258026123047,-126.50186920166016,0.0,0.0,0.0
5,-5.307825088500977,-36.00613784790039,0.0,328.647,124.28
6,-25.372867584228516,45.805702209472656,0.0,0.0,0.0
7,57.81443405151367,159.1160888671875,0.0,0.0,0.0
9,47.53404998779297,-52.6768913269043,0.0,54.0,490.0
10,8.955108642578125,80.96785736083984,0.0,0.0,0.0
11,8.816425323486328,10.479612350463867,0.0,0.0,0.0
12,-36.310585021972656,-72.23448181152344,0.0,0.0,464.549478
13,7.373159885406494,-77.85245513916016,0.0,0.0,0.0
14,-43.4785041809082,147.28677368164062,0.0,0.0,0.0
15,-65.95892333984375,54.62052917480469,0.0,0.0,0.0
16,33.15044403076172,114.05899047851562,7100.0,756.4,0.0
17,22.06804084777832,-159.33755493164062,0.0,0.0,0.0
18,66.39938354492188,-116.23983001708984,0.0,0.0,0.0
19,41.756866455078125,-3.584813117980957,0.0,77.866,0.0
20,9.767515182495117,45.737117767333984,0.0,0.0,0.0
23,-25.152681350708008,113.81431579589844,0.0,18.0,0.0
25,-20.957111358642578,13.734307289123535,0.0,0.0,0.0
26,34.2576789855957,-85.84422302246094,2822.0,1484.8,18.0
27,-70.30946350097656,133.63145446777344,0.0,0.0,0.0
28,54.077789306640625,88.16419982910156,1844.0,0.0,0.0
29,16.10041046142578,-16.48038673400879,0.0,0.0,10.5
30,1.4795880317687988,109.45205688476562,0.0,0.0,0.0
32,-12.505524635314941,-61.111202239990234,0.0,0.0,7.41
33,64.98495483398438,-18.967681884765625,0.0,0.0,0.0
34,32.09314727783203,71.49396514892578,40.0,0.0,0.0
35,27.810184478759766,26.503759384155273,0.0,0.0,0.0
36,-77.26300811767578,-17.87613868713379,0.0,0.0,0.0
37,-20.66325569152832,147.95242309570312,190.0,0.0,0.0
38,38.51150131225586,141.44564819335938,2112.0,0.0,0.0
39,56.01007843017578,-158.81312561035156,0.0,0.0,0.0
40,-4.154751777648926,28.49710464477539,0.0,0.0,0.0
41,16.819002151489258,-99.30970764160156,0.0,0.0,0.0
43,46.97180938720703,-106.72872161865234,0.0,0.0,0.0
44,54.847694396972656,122.94889068603516,0.0,0.0,0.0
45,25.446313858032227,93.00577545166016,0.0,15.5,0.0
46,-29.5996150970459,-50.01942825317383,0.0,2.952,6.844
47,5.678353786468506,-53.6671028137207,0.0,0.0,0.0
48,62.7725715637207,25.922683715820312,0.0,0.0,0.0
49,65.50438690185547,-67.5075912475586,0.0,0.0,0.0
50,-55.1331901550293,-69.23403930664062,0.0,0.0,0.0
51,13.546698570251465,124.18795013427734,0.0,0.0,0.0
52,-49.11790466308594,70.30818176269531,0.0,0.0,0.0
53,28.31133270263672,48.41602325439453,0.0,1847.0,0.0
55,24.439977645874023,1.5736969709396362,0.0,0.0,0.0
56,75.19503784179688,149.40391540527344,0.0,0.0,0.0
57,44.62489700317383,20.25882339477539,4333.0,0.0,0.0
59,-32.96986389160156,27.84245491027832,0.0,0.0,0.0
60,-30.944969177246094,132.45347595214844,0.0,0.0,0.0
61,81.98715209960938,-86.58577728271484,0.0,0.0,0.0
62,-9.529595375061035,-78.14286041259766,0.0,0.0,0.0
63,49.83585739135742,-77.99671173095703,0.0,0.0,0.0
64,-5.617691993713379,155.00277709960938,0.0,0.0,0.0
65,-86.31315612792969,154.65255737304688,0.0,0.0,0.0
66,-15.236013412475586,127.66822814941406,0.0,0.0,0.0
67,63.6405029296875,62.37240982055664,0.0,0.0,0.0
68,18.126361846923828,-65.43147277832031,0.0,210.0,1466.0
69,11.957168579101562,29.30763816833496,0.0,0.0,0.0
70,52.24692153930664,-131.37413024902344,0.0,0.0,0.0
72,-70.59306335449219,-74.91706848144531,0.0,0.0,0.0
73,68.42962646484375,101.64974212646484,0.0,0.0,0.0
74,16.81218719482422,106.87885284423828,0.0,0.0,0.0
75,-65.78257751464844,92.49615478515625,0.0,0.0,0.0
76,6.238643169403076,-4.7103729248046875,0.0,0.0,0.0
77,71.1939697265625,-156.9984588623047,0.0,0.0,3.2
78,40.2161865234375,96.90828704833984,2000.0,0.0,0.0
80,46.659423828125,67.51892852783203,0.0,0.0,0.0
81,-5.744616985321045,13.515945434570312,0.0,0.0,0.0
82,-18.619220733642578,31.563541412353516,0.0,0.0,0.0
83,5.48305082321167,95.35856628417969,0.0,0.0,0.0
84,-15.375175476074219,-46.55504608154297,0.0,0.0,0.0
85,30.721210479736328,-102.16280364990234,0.0,2155.7999999999997,0.0
87,21.854291915893555,-79.46961975097656,0.0,0.0,0.0
88,0.1404470056295395,-66.05341339111328,0.0,0.0,0.0
89,-22.773828506469727,-70.08635711669922,0.0,0.0,133.5
91,54.92327117919922,-1.4000780582427979,0.0,106.0,0.0
93,-3.510488986968994,121.6635513305664,280.0,0.0,0.0
94,-78.7369155883789,47.393226623535156,0.0,0.0,0.0
95,57.85677719116211,-95.56965637207031,0.0,0.0,0.0
96,32.57213592529297,12.74172592163086,0.0,2067.0,185.0
98,21.69428062438965,79.68824768066406,10286.0,0.0,0.0
99,42.13151550292969,125.66144561767578,2675.0,0.0,0.0
100,41.27859115600586,-122.55778503417969,0.0,848.5999999999999,0.0
101,18.162410736083984,56.30042266845703,0.0,0.0,0.0
102,-34.53360366821289,172.9190216064453,0.0,0.0,0.0
103,20.07954216003418,15.995152473449707,0.0,0.0,0.0
104,36.05277633666992,37.13947296142578,1200.0,574.0,1695.0
105,50.65679931640625,142.07247924804688,0.0,0.0,0.0
