latitude,longitude,population_2020
-86.098884582519531,-176.34689331054688,0
78.776298522949219,-87.88653564453125,0.29251663909587933
67.974349975585938,-178.75936889648438,1239.4555549540601
-16.727182388305664,-179.89871215820312,2151.0772598683834
-13.878415107727051,-171.96916198730469,0
80.40374755859375,-89.626434326171875,0.33672293586346314
-85.302696228027344,168.18510437011719,0
-84.199600219726562,178.27545166015625,0
-87.723152160644531,-171.91757202148438,0
51.442863464355469,179.16664123535156,0
-16.627023696899414,-151.46395874023438,0
-21.235237121582031,-159.78556823730469,0
-73.402580261230469,-126.50186920166016,0
-86.42425537109375,11.849737167358398,0
-89.319725036621094,173.67352294921875,0
82.333625793457031,-23.026697158813477,0
80.691154479980469,-23.593439102172852,0
-85.42694091796875,-115.83617401123047,0
-74.319381713867188,-121.02156066894531,0
-80.362800598144531,-122.72261810302734,0
-76.708023071289062,-120.65637969970703,0
-83.88507080078125,-119.15953063964844,0
-82.3150634765625,-117.68244171142578,0
-43.768596649169922,-176.37483215332031,0
66.394805908203125,179.57041931152344,850.4896140092751
81.987152099609375,-86.585777282714844,0.46399533065277865
73.971046447753906,-124.06229400634766,0
70.175010681152344,-146.31999206542969,113.31891831002758
70.513839721679688,-151.9736328125,827.56762190474547
65.556434631347656,-176.13716125488281,2630.5661864002541
-76.674232482910156,-138.64019775390625,0
-85.572250366210938,-132.79115295410156,0
-74.814247131347656,-135.66912841796875,0
-78.272430419921875,-129.5933837890625,0
-81.777076721191406,-126.59307861328125,0
-75.667068481445312,-124.13282012939453,0
-75.567413330078125,-129.60977172851562,0
-76.908683776855469,-131.664306640625,0
-83.065544128417969,-130.25485229492188,0
-80.846435546875,-133.24661254882812,0
-79.497215270996094,-133.51115417480469,0
73.354820251464844,-84.594154357910156,742.03253142163157
76.730758666992188,-88.218925476074219,0.041281123783619478
-77.457313537597656,169.26649475097656,0
-83.1103515625,168.32228088378906,0
-73.599006652832031,169.77110290527344,0
-86.427604675292969,-13.079423904418945,0
-84.020301818847656,16.223306655883789,0
-71.695640563964844,5.1967549324035645,0
-86.313156127929688,154.65255737304688,0
-84.205894470214844,158.06993103027344,0
-71.788963317871094,170.23469543457031,0
-39.223712921142578,177.90216064453125,45848.825234982651
-85.178779602050781,133.77500915527344,0
-87.852401733398438,144.81962585449219,0
-82.1605224609375,149.34722900390625,0
-80.137847900390625,131.91500854492188,0
-78.362190246582031,131.18023681640625,0
-70.309463500976562,133.63145446777344,0
-88.24261474609375,104.23356628417969,0
-83.127731323242188,124.57022857666016,0
-86.972808837890625,114.70112609863281,0
80.207206726074219,-78.747024536132812,0.90678178173902779
79.106437683105469,-23.197044372558594,0
77.135200500488281,-18.442359924316406,0
-28.381839752197266,16.432090759277344,17862.872977115912
-87.894264221191406,-127.50321197509766,0
-73.29876708984375,-95.702339172363281,0
-81.117401123046875,-108.67440795898438,0
-77.404434204101562,-114.66877746582031,0
-78.516372680664062,-119.93171691894531,0
-75.436271667480469,-117.70198059082031,0
-80.101188659667969,-114.75804901123047,0
-79.026214599609375,-154.64607238769531,0
-81.067474365234375,-152.76016235351562,0
