location_id,latitude,longitude,bioenergy_Announced,bioenergy_Existing,coal_Announced,coal_Existing,geothermal_Announced,geothermal_Existing,hydropower_Announced,hydropower_Existing,nuclear_Announced,nuclear_Existing,oil_gas_Announced,oil_gas_Existing,solar_Announced,solar_Existing,wind_Announced,wind_Existing
39,56.35147932738592,-159.00433224236764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-4.044554896703913,28.427928573130448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,17.258151672571323,-99.22169095391995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
43,47.11927146602014,-106.73142946763525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0
44,54.82791262181296,122.71845484184915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,25.43321070855528,92.93973976603677,0.0,0.0,0.0,0.0,0.0,0.0,110.0,476.0,0.0,0.0,0.0,0.0,50.0,17.3,0.0,0.0
46,-29.513684621475498,-50.2929201777694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,656.9
47,5.3085489190670065,-53.77979614644988,0.0,10.5,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,55.0,6.0,0.0,0.0
48,63.055994109188426,26.266928796113362,0.0,729.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,180.0,346.0,5.0,4107.5,958.5
49,65.81402878081535,-67.92649801043248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-54.9390982232406,-69.01103514012269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,13.372070759852203,123.6309114476552,0.0,0.0,0.0,0.0,50.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,74.0,596.0,0.0
52,-49.30645491167196,69.5315804704237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,28.313033505320103,48.01828470077502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,1679.5,0.0,10.0,0.0,0.0
55,24.495678307517608,1.688643810325729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,75.0807141948091,148.28779106153632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,44.59930427686296,20.394859384123837,0.0,30.0,0.0,4785.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,594.0,320.0,25.3,3383.5,404.0
59,-32.64231397033787,27.54567736143711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,22.0
