location_id,latitude,longitude,annual_demand_kwh
2404,-86.098884582519531,-176.34689331054688,0
961,78.776298522949219,-87.88653564453125,0
862,67.974349975585938,-178.75936889648438,608463872
251,-16.727182388305664,-179.89871215820312,0
3150,80.40374755859375,-89.626434326171875,0
4234,-85.302696228027344,168.18510437011719,0
1227,-84.199600219726562,178.27545166015625,0
3220,-87.723152160644531,-171.91757202148438,0
2,-73.402580261230469,-126.50186920166016,0
3840,-86.42425537109375,11.849737167358398,0
1070,-89.319725036621094,173.67352294921875,0
3394,82.333625793457031,-23.026697158813477,0
4832,80.691154479980469,-23.593439102172852,0
1667,-85.42694091796875,-115.83617401123047,0
2747,-74.319381713867188,-121.02156066894531,0
259,-80.362800598144531,-122.72261810302734,0
777,-76.708023071289062,-120.65637969970703,0
3752,-83.88507080078125,-119.15953063964844,0
2786,-82.3150634765625,-117.68244171142578,0
2959,66.394805908203125,179.57041931152344,389555200
61,81.987152099609375,-86.585777282714844,0
2287,73.971046447753906,-124.06229400634766,295053248
845,70.175010681152344,-146.31999206542969,537493504
2730,70.513839721679688,-151.9736328125,3003469312
1561,65.556434631347656,-176.13716125488281,546715520
559,-76.674232482910156,-138.64019775390625,0
4914,-85.572250366210938,-132.79115295410156,0
2914,-74.814247131347656,-135.66912841796875,0
1579,-78.272430419921875,-129.5933837890625,0
4521,-81.777076721191406,-126.59307861328125,0
4579,-75.667068481445312,-124.13282012939453,0
1712,-75.567413330078125,-129.60977172851562,0
4093,-76.908683776855469,-131.664306640625,0
1171,-83.065544128417969,-130.25485229492188,0
2732,-80.846435546875,-133.24661254882812,0
4489,-79.497215270996094,-133.51115417480469,0
2059,73.354820251464844,-84.594154357910156,203683488
2135,76.730758666992188,-88.218925476074219,0
3616,-83.1103515625,168.32228088378906,0
3547,-73.599006652832031,169.77110290527344,0
3228,-86.427604675292969,-13.079423904418945,0
2822,-84.020301818847656,16.223306655883789,0
3995,-71.695640563964844,5.1967549324035645,0
65,-86.313156127929688,154.65255737304688,0
2174,-84.205894470214844,158.06993103027344,0
114,-71.788963317871094,170.23469543457031,0
3364,-39.223712921142578,177.90216064453125,2070046976
2420,-85.178779602050781,133.77500915527344,0
3370,-87.852401733398438,144.81962585449219,0
3246,-82.1605224609375,149.34722900390625,0
3075,-80.137847900390625,131.91500854492188,0
968,-78.362190246582031,131.18023681640625,0
27,-70.309463500976562,133.63145446777344,0
4543,-88.24261474609375,104.23356628417969,0
2397,-83.127731323242188,124.57022857666016,0
1711,-86.972808837890625,114.70112609863281,0
1951,80.207206726074219,-78.747024536132812,0
2119,79.106437683105469,-23.197044372558594,0
106,77.135200500488281,-18.442359924316406,0
3179,-28.381839752197266,16.432090759277344,466384512
2630,-87.894264221191406,-127.50321197509766,0
3441,-73.29876708984375,-95.702339172363281,0
1795,-81.117401123046875,-108.67440795898438,0
3859,-77.404434204101562,-114.66877746582031,0
3027,-78.516372680664062,-119.93171691894531,0
4168,-75.436271667480469,-117.70198059082031,0
4591,-80.101188659667969,-114.75804901123047,0
4665,-79.026214599609375,-154.64607238769531,0
3329,-81.067474365234375,-152.76016235351562,0
1773,62.551528930664062,179.28407287597656,128631656
4504,34.174934387207031,133.91944885253906,54981513216
4731,34.5174560546875,136.63394165039062,138034774016
2121,35.712108612060547,135.22386169433594,64654143488
1373,33.676761627197266,135.42938232421875,29410304000
3033,-25.060977935791016,15.912050247192383,292259232
1436,68.272857666015625,-141.38487243652344,746757760
3951,69.691848754882812,-142.30731201171875,545033792
4287,69.072006225585938,-138.26051330566406,367670880
2542,67.679840087890625,-136.20889282226562,782420736
3272,69.753799438476562,-122.98734283447266,272549632
661,71.9783935546875,-125.05869293212891,196940176
1287,69.204483032226562,-118.66267395019531,289267904
1284,68.695075988769531,-152.9691162109375,1111401088
3827,69.725807189941406,-156.3812255859375,1183815040
1178,65.97161865234375,-154.66567993164062,1280435328
3089,67.497421264648438,-156.36723327636719,1558906880
77,71.1939697265625,-156.99845886230469,571086336
17,22.06804084777832,-159.33755493164062,404879136
4370,-77.181015014648438,-144.29573059082031,0
3823,-75.554641723632812,-143.09060668945312,0
1666,-76.215545654296875,-148.53775024414062,0
2639,-78.50018310546875,-138.52140808105469,0
4919,-83.242149353027344,-144.06436157226562,0
2197,-78.253089904785156,-148.37274169921875,0
937,-86.34912109375,-147.27365112304688,0
831,-80.047225952148438,-143.5751953125,0
2407,-81.953033447265625,-142.90338134765625,0
2430,-84.498016357421875,-141.94195556640625,0
144,71.796737670898438,-89.698562622070312,117175752
4774,73.085586547851562,-88.989654541015625,320987008
3767,71.845245361328125,-84.902046203613281,487274112
4950,-78.591194152832031,166.485107421875,0
4952,-80.462287902832031,160.30497741699219,0
551,-81.807891845703125,162.15461730957031,0
3030,-70.696258544921875,165.77735900878906,0
1212,-74.432273864746094,165.02911376953125,0
4073,-83.994773864746094,-7.5629391670227051,0
1150,-82.925956726074219,-17.583850860595703,0
1794,-79.987899780273438,-16.466764450073242,0
1517,-82.488426208496094,8.6970939636230469,0
1387,-79.80413818359375,10.980982780456543,0
3685,-81.230796813964844,14.686518669128418,0
1148,-70.406272888183594,3.1771440505981445,0
157,-29.933389663696289,17.21226692199707,920642048
4059,-74.1781005859375,10.078010559082031,0
602,-73.215621948242188,5.9226150512695312,0
1772,-71.253173828125,9.7377119064331055,0
4145,-78.39727783203125,10.098154067993164,0
3962,-67.132606506347656,85.088600158691406,0
2646,-80.613014221191406,152.61085510253906,0
200,-77.881149291992188,147.91326904296875,0
3423,-77.759468078613281,155.38308715820312,0
4128,-40.341789245605469,176.641357421875,4646056960
3216,-67.4371337890625,136.72433471679688,0
3503,-68.637886047363281,134.06871032714844,0
1577,-76.111419677734375,135.52143859863281,0
4699,-73.033187866210938,135.71449279785156,0
4672,-77.514518737792969,136.82127380371094,0
2926,-81.783706665039062,134.00787353515625,0
4323,-69.394561767578125,142.20979309082031,0
885,-70.684341430664062,143.70071411132812,0
1868,-68.9168701171875,138.56690979003906,0
3426,-73.934951782226562,126.44184112548828,0
3886,-76.639694213867188,128.719482421875,0
4556,-69.48291015625,130.31146240234375,0
2696,-72.165718078613281,132.43287658691406,0
1778,-73.955673217773438,132.1387939453125,0
4260,-75.308570861816406,130.86102294921875,0
2166,-80.134292602539062,112.38791656494141,0
818,-84.649139404296875,112.56334686279297,0
1695,-82.352279663085938,108.51184844970703,0
3885,74.902549743652344,-84.897346496582031,0
2294,77.910507202148438,-78.914543151855469,0
530,75.887046813964844,-79.599006652832031,0
4778,72.49298095703125,-81.233551025390625,464332416
4137,81.191627502441406,-71.733993530273438,0
2177,76.030609130859375,-29.685943603515625,0
3818,77.626045227050781,-24.856996536254883,0
3718,76.160926818847656,-23.426214218139648,0
311,71.003593444824219,-23.263349533081055,0
2881,72.880668640136719,-22.221891403198242,0
2311,73.9962158203125,-33.043361663818359,0
893,74.251480102539062,-25.967096328735352,0
1433,81.011245727539062,-31.835151672363281,0
1094,78.012771606445312,-31.96966552734375,0
4167,76.510116577148438,-35.685546875,0
850,68.390419006347656,-53.165145874023438,0
2951,76.39251708984375,107.99315643310547,0
173,78.098403930664062,107.47556304931641,0
1229,75.345199584960938,113.56200408935547,790518.5625
4155,73.711738586425781,112.56720733642578,227853216
825,75.405509948730469,135.56538391113281,0
1609,73.516700744628906,127.22291564941406,106058192
4815,72.226516723632812,127.220703125,359594048
440,-24.59764289855957,17.744789123535156,310941696
4005,9.8861303329467773,77.724227905273438,11439314944
499,10.238829612731934,76.2015380859375,12584312832
1458,8.4191875457763672,78.011688232421875,8464285696
2885,20.14166259765625,55.868083953857422,571617024
1087,16.174381256103516,46.047908782958984,420845504
3703,9.6210174560546875,38.507965087890625,509267296
3849,21.403963088989258,58.239280700683594,210918320
1840,19.959396362304688,57.698833465576172,138821504
1297,22.256122589111328,56.67449951171875,1009421824
2349,23.689971923828125,58.081928253173828,2603581696
288,24.458841323852539,54.528156280517578,20379418624
2784,25.304204940795898,56.232658386230469,20957165568
3684,23.701705932617188,56.180419921875,9755321344
754,27.839984893798828,52.891609191894531,6237250560
3933,36.052146911621094,53.272373199462891,4554922496
2013,80.429023742675781,19.827419281005859,0
4882,-76.193122863769531,-90.437850952148438,0
3910,-82.046241760253906,-51.119499206542969,0
851,-79.930740356445312,-96.755958557128906,0
4742,-81.246734619140625,-100.21169281005859,0
4766,-78.641960144042969,-93.277137756347656,0
1280,-74.833999633789062,-96.940635681152344,0
3971,-76.225471496582031,-98.5943603515625,0
2955,-78.369789123535156,-100.77252960205078,0
1471,-77.3416748046875,-92.999794006347656,0
2586,-74.922172546386719,-89.798065185546875,0
3158,-78.515480041503906,-86.749923706054688,0
948,-72.996437072753906,-89.348304748535156,0
363,-75.954879760742188,-83.780815124511719,0
3694,-77.126602172851562,-77.216316223144531,0
4519,-77.293830871582031,-83.284538269042969,0
430,-83.163101196289062,-154.85629272460938,0
3382,-84.903282165527344,-162.98716735839844,0
2895,-82.939468383789062,-171.12310791015625,0
2778,-79.566001892089844,-162.33158874511719,0
175,-77.929183959960938,-158.28572082519531,0
957,-7.6531920433044434,108.79586791992188,2706600448
3476,-8.0130023956298828,110.33306884765625,3855350272
575,-66.89276123046875,141.29296875,0
2875,-69.302146911621094,156.72903442382812,0
2911,-72.131942749023438,114.56645202636719,0
3147,-69.401443481445312,120.84429931640625,0
3288,-69.524490356445312,115.34348297119141,0
456,-70.796127319335938,118.24741363525391,0
583,44.616470336914062,116.280517578125,5215099904
4061,34.495826721191406,114.99642181396484,39680544768
1938,33.093151092529297,132.80010986328125,15600691200
262,44.397579193115234,146.50979614257812,3559518.5
4274,36.456535339355469,138.53530883789062,85451972608
4831,38.306484222412109,139.75636291503906,42749788160
2028,36.488826751708984,140.26556396484375,137153683456
1407,37.832416534423828,138.2353515625,13976735744
594,35.081829071044922,138.15411376953125,61068734464
3698,36.815269470214844,136.82511901855469,35657211904
799,80.663642883300781,-15.639569282531738,0
2076,75.063438415527344,-18.414617538452148,0
4841,67.105194091796875,-139.95074462890625,585826688
733,65.984169006347656,-138.36720275878906,746491328
3167,68.400718688964844,-130.75053405761719,808541568
1343,66.821945190429688,-131.98455810546875,654028672
1831,69.863250732421875,-128.07754516601562,533060640
241,69.406173706054688,-134.36749267578125,571508992
2495,64.096710205078125,-139.40428161621094,832607424
128,62.196884155273438,-140.05352783203125,806314560
1641,73.164039611816406,-117.73006439208984,574753024
3489,75.186088562011719,-116.92570495605469,4984308.5
2551,71.038284301757812,-118.17478179931641,293293184
4792,72.01220703125,-120.86337280273438,604480896
180,75.958290100097656,-122.39981079101562,44502.75390625
2952,76.804618835449219,-116.08573913574219,0
927,78.452125549316406,-112.75675201416016,0
4584,72.802978515625,-112.73698425292969,322644960
3558,67.165740966796875,-152.1978759765625,1498901504
2713,61.865421295166016,-136.107177734375,1704581888
2364,65.572349548339844,-159.7486572265625,1626594304
231,63.648178100585938,-159.88053894042969,1265777664
2967,67.015678405761719,-173.94358825683594,284646848
2864,64.341514587402344,-173.20660400390625,283334912
1198,63.20880126953125,-168.97984313964844,121233152
1075,-26.638731002807617,15.259596824645996,186412352
4476,-40.365383148193359,-73.710830688476562,1156656512
4307,70.461929321289062,-88.552421569824219,247079280
770,67.871490478515625,-91.944564819335938,794463104
1556,80.063514709472656,-99.353065490722656,0
3118,77.747238159179688,-94.326156616210938,0
1397,-76.228668212890625,157.0472412109375,0
1393,-79.20025634765625,159.41072082519531,0
528,-73.4696044921875,155.27920532226562,0
201,-85.124931335449219,1.7486369609832764,0
4925,-83.7723388671875,4.4409270286560059,0
1277,-87.908576965332031,1.0122179985046387,0
2989,-82.572395324707031,-4.3634238243103027,0
587,-80.739570617675781,-3.6651639938354492,0
255,-70.926155090332031,-5.9416799545288086,0
4607,-72.288261413574219,-7.2680869102478027,0
2484,-84.870101928710938,-19.715291976928711,0
3682,-81.515304565429688,-13.46136474609375,0
4401,-79.686836242675781,-8.7782058715820312,0
4199,-75.486976623535156,-17.623834609985352,0
36,-77.263008117675781,-17.876138687133789,0
3175,-74.070388793945312,-21.143756866455078,0
3162,-78.457504272460938,-34.520538330078125,0
302,-77.9853515625,-47.707656860351562,0
3817,-87.411491394042969,-34.155040740966797,0
2609,-88.671775817871094,-58.92315673828125,0
2132,-78.7591552734375,20.392627716064453,0
4511,-80.082603454589844,19.040264129638672,0
2658,-72.683265686035156,13.285553932189941,0
2751,-75.301475524902344,13.460354804992676,0
264,-77.216522216796875,13.817530632019043,0
4781,-71.346244812011719,13.770195007324219,0
4212,-77.515426635742188,24.096870422363281,0
4041,-82.665740966796875,20.381128311157227,0
3325,-87.152610778808594,35.151176452636719,0
4550,-84.332588195800781,41.015525817871094,0
